,maintanance_job_code,eo_code,eo_description,eo_main_description,level_1,level_upper,avearage_day_operation_hours,level_1_description
137,100000084401_21,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
138,100000084401_22,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
139,100000084401_23,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
140,100000084401_24,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
141,100000084401_25,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
142,100000084401_26,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
143,100000084401_27,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
144,100000084401_28,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
145,100000084401_29,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
146,100000084401_30,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
147,100000084401_31,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
148,100000084401_32,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
149,100000084401_33,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
150,100000084401_34,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
151,100000084401_35,100000084401,Самосвал карьерный 730E-8 №18,Самосвал карьерный 730E-8 №18,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
152,100000084404_17,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
153,100000084404_18,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
154,100000084404_19,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
155,100000084404_20,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
156,100000084404_21,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
157,100000084404_22,100000084404,Самосвал карьерный 730E-8 №21,Самосвал карьерный 730E-8 №21,first05,05-KAR-UTTR-K738,23.5,Полюс Магадан
